upstream_reliability,sync_time_s,join_time_s,upstream_num_tx,latency_min_s,upstream_num_lost,avg_hops,upstream_num_rx,latency_avg_s,latency_max_s,avg_current_uA,lifetime_AA_years
0.95,2613.595,2630.9700000000003,37.5,0.735,3.0,2.9537037037037037,34.5,4.441703703703705,10.43,2879.3606823566697,0.2888121856870343
0.9815789473684211,2264.135,2268.8950000000004,96.5,1.77,3.5,3.9644808743169397,93.0,7.456420765027323,13.76,1158.6413417940134,0.279128070332918
0.9224941724941724,2485.325,2493.255,200.5,0.67,13.0,2.654109589041096,187.5,4.637472602739727,13.73,1175.469841818982,0.6409110872123118
0.9642857142857143,1547.3200000000002,1554.975,19.0,0.43,0.5,3.0,18.5,2.394230769230769,8.605,519.4297884501904,0.9689249797553547
1.0,2739.8450000000003,2753.31,13.5,1.04,0.0,2.8529411764705883,13.5,2.869764705882353,7.675000000000001,1131.7735816697755,0.2865016987954613
0.925,3322.9,3329.525,81.0,0.575,5.5,3.6642857142857146,75.5,5.133425324675325,11.715000000000002,4107.994541873075,0.09564862950084879
0.9807692307692308,1905.8700000000001,1911.96,24.0,0.48000000000000004,0.5,1.8572727272727274,23.5,2.605581818181818,8.935,347.9981832812873,0.928945382582244
0.9223684210526315,1794.375,1798.85,19.5,1.385,1.5,3.0,18.0,3.364365325077399,6.425000000000001,471.1088612667651,0.6950012246752588
0.8821428571428571,232.015,232.815,435.0,0.01,51.0,1.0,384.0,1.8332878277726772,8.595,205.20044107097834,1.5871113601323767
0.930952380952381,2758.925,2764.895,14.5,0.6200000000000001,1.0,3.206043956043956,13.5,2.9070879120879125,5.17,2895.662423687795,0.2774507721854477
1.0,475.71000000000004,478.56000000000006,27.5,0.42000000000000004,0.0,2.020833333333333,27.5,1.82054435483871,5.645,148.4574502683392,2.1989577897613293
0.9186666666666667,2073.135,2083.965,132.5,1.47,12.5,2.980088495575221,120.0,5.7441276864728215,12.739999999999998,728.5660127664569,0.46463021666414484
1.0,709.5250000000001,715.385,29.0,0.215,0.0,2.0172413793103448,29.0,1.540344827586207,4.785,192.48789047584114,1.7472960574821426
0.9638888888888889,3054.3500000000004,3068.19,94.5,0.845,6.5,2.9534264803725883,88.0,4.69505655355955,19.245,11418.432760181382,0.16571477963672016
1.0,538.44,543.1600000000001,23.5,0.375,0.0,2.0,23.5,2.14883152173913,8.725000000000001,152.57813431593047,2.1133980703121313
0.9117647058823529,2805.89,2817.185,14.0,0.98,1.5,3.2532467532467533,12.5,3.1275324675324674,6.065,1415.1840544198762,0.29933112168941006
0.9520833333333334,1383.81,1388.51,130.5,0.355,11.5,3.0,119.0,3.249585253456221,9.02,420.34293456858916,0.8709326546117537
0.9833333333333334,2533.3,2542.445,136.0,2.005,4.5,3.75,131.5,4.8057471264367795,11.235,3267.3950064443875,0.3399003782726633
0.9791666666666667,744.59,750.835,26.5,0.51,0.5,2.0,26.0,1.765112443778111,7.615,196.30358283248307,1.6547702216384672
0.9529411764705882,255.75,259.985,224.5,0.049999999999999996,20.0,1.0,204.5,2.213708333333332,9.265,184.97748489104612,1.7415218791663023
0.8571428571428572,2888.315,2902.62,8.5,1.22,1.0,3.8499999999999996,7.5,3.6320000000000006,8.56,1683.093113206875,0.19502571521110476
0.9020833333333333,1982.125,1995.65,120.5,1.62,15.5,3.420512820512821,105.0,5.448948717948715,14.524999999999999,679.9048255497657,0.58087933525943
0.956923076923077,534.005,540.21,207.5,0.395,9.5,2.0,198.0,2.5996706989247316,7.875,150.83189125633578,2.1474640475796303
0.9136645962732919,496.41499999999996,498.30500000000006,29.0,0.195,2.5,2.0,26.5,1.4373214285714289,3.6550000000000002,159.22639344742572,2.072641034027715
0.9729411764705882,2043.3400000000001,2049.635,214.5,0.86,11.5,3.25,203.0,4.382226368159204,10.23,2996.7969492386733,1.060696283319115
0.9642401021711366,857.095,859.865,28.0,0.83,1.0,3.0,27.0,3.4273901098901094,8.82,187.51877820086787,1.7322766358961141
0.975,428.46000000000004,433.095,222.5,0.20500000000000002,10.5,2.0,212.0,3.1342030075187948,8.58,141.00924430414182,2.2882998872981117
0.96,1886.9,1896.595,19.5,0.6799999999999999,1.0,2.8773291925465836,18.5,2.814813664596273,5.99,533.9652446271629,0.6060826621530863
0.9583333333333333,1958.61,1966.255,15.0,0.97,1.0,3.6363636363636367,14.0,2.6714393939393934,6.6,1684.2271307493334,0.9103032552056476
0.9705882352941176,2127.2799999999997,2131.9049999999997,20.0,0.785,0.5,3.0,19.5,2.8007608695652175,7.965,472.2443825521314,0.684390584498437
0.8531746031746033,2583.69,2595.465,11.5,1.875,1.5,3.428571428571429,10.0,3.6353296703296705,7.8149999999999995,1927.3214857333978,0.3502275667576361
1.0,2877.0950000000003,2881.3050000000003,25.5,0.09000000000000001,0.0,1.0833333333333335,25.5,1.5381018518518519,5.779999999999999,4493.3171112819155,0.489671967373857
0.9795918367346939,1693.2649999999999,1705.13,133.0,0.37,5.0,2.0,128.0,3.205113475177305,10.850000000000001,482.0446728693105,1.056996500172915
0.9916666666666667,1646.52,1653.63,186.0,0.935,3.0,3.0,183.0,3.8906991525423713,9.76,705.1611307095905,0.830294460770256
0.9153846153846155,1760.54,1769.405,78.0,0.505,7.0,2.906779661016949,71.0,6.208608757062149,15.25,1041.6088135676114,0.966569045137714
1.0,1617.1200000000001,1622.9650000000001,19.5,1.145,0.0,3.0,19.5,3.295894736842105,7.725,466.01516589970277,0.7679810876161755
