upstream_reliability,sync_time_s,join_time_s,upstream_num_tx,latency_min_s,upstream_num_lost,avg_hops,upstream_num_rx,latency_avg_s,latency_max_s,avg_current_uA,lifetime_AA_years
0.8560825506250922,2124.118,2167.986,79.0,1.0590000000000002,18.1,9.03076923076923,60.9,3.5131082622534415,9.495,1420.847933333162,0.39187990955047275
0.7998809382052416,1687.877,1699.3559999999998,89.4,0.991,22.5,8.0,66.9,3.4590476433593134,8.534000000000002,639.646590449616,0.5168473530131286
0.8818103246083122,1714.5190000000002,1747.2690000000002,44.1,0.8500000000000002,5.8,7.25,38.3,2.027983471213658,4.664,864.9725061942839,0.5701470827381154
0.8881372440795318,1593.284,1609.919,46.5,0.687,5.6,6.16,40.9,1.9280338221381328,4.644,1677.2284758300125,0.6312836973927686
0.8886353123174364,1283.5610000000001,1287.396,129.7,0.43199999999999994,22.9,5.155555555555556,106.8,2.0230076232992045,5.7,436.08006794830106,0.7742935516500822
0.8996938327373112,1365.6870000000001,1371.438,49.9,0.53,8.0,6.0,41.9,1.7401766042179354,4.243,431.3315182134887,0.7599854723346942
0.8847655122655123,1545.489,1584.922,44.0,0.6689999999999999,5.8,7.057142857142857,38.2,1.9442189818227482,5.034,533.6246143970578,0.6260883777735641
0.9350367954199225,1735.2330000000002,1739.664,34.5,0.89,2.3,8.0,32.2,2.3679938183978044,4.993,687.6452721843901,0.4806820919901357
0.7775489336085311,1994.3110000000001,2005.163,54.4,1.1480000000000001,10.7,9.536190476190477,43.7,2.912149121137483,5.881000000000001,786.781227962384,0.416891721629829
0.8789863481650958,1960.2960000000003,1979.6199999999997,90.2,1.115,17.4,9.0,72.8,3.7502830357330423,8.608,845.3551408504969,0.40021650131427167
0.8094307313568703,1623.1799999999998,1638.2420000000002,88.5,1.1110000000000002,16.7,8.2,71.8,3.4274470524855523,8.001000000000001,642.6749007107974,0.530121403985228
0.8115340409199643,1682.208,1687.9440000000002,101.3,0.869,22.8,7.204444444444445,78.5,3.1316673671613917,8.199,1081.1426605830284,0.47477098843379845
0.8455510352060701,1441.538,1457.0279999999998,95.4,0.657,11.0,6.2153846153846155,84.4,2.362671193621021,5.589000000000001,505.3338092877956,0.6629983428315791
0.8408965543437839,1286.4330000000004,1298.0640000000003,147.3,0.53,42.4,5.396078431372549,104.9,2.351305136293851,6.952000000000001,494.57693957334897,0.7027112676795354
0.9630288660614748,1272.9779999999998,1280.157,51.7,0.4,0.9,4.4340909090909095,50.8,1.592251696623714,4.827,460.56163973315853,0.7630556687334374
0.935113680718189,1234.3740000000003,1238.4540000000002,78.2,0.429,6.8,5.031578947368422,71.4,1.5655558400125986,4.68,448.52624167972624,0.7456361027633231
0.9284885620915032,1383.99,1389.52,50.9,0.6139999999999999,7.6,6.0,43.3,1.7888636330839855,3.906,506.5928577376183,0.6779632338941937
0.8783644480519481,1535.8590000000002,1540.828,77.8,0.643,27.5,7.0,50.3,2.54927443369367,6.1690000000000005,568.4400741480559,0.5728380484851003
0.8161120170678995,1790.2339999999997,1795.9830000000002,62.1,1.1480000000000001,12.1,8.329411764705883,50.0,2.9597320237217017,6.36,714.6566010217147,0.46614632602260064
0.8515304775108696,1792.434,1800.2350000000001,93.6,0.8577777777777779,23.4,8.0,70.2,3.1680938819592366,7.739999999999999,705.1715144427423,0.49943459093164166
0.8609438145076064,1586.675,1595.4779999999998,77.7,0.6411111111111112,19.6,7.0551378446115285,58.1,2.4085459224192176,6.305555555555555,623.6590344025409,0.5509078472344804
0.852423599191219,1433.906,1457.219,49.4,0.609,11.9,6.12,37.5,2.210121855995708,5.2410000000000005,811.3970770919157,0.6291237838032615
0.8374235720678062,1152.6779999999999,1167.723,83.0,0.41111111111111115,13.0,5.138888888888889,70.0,2.0720597428490843,4.7011111111111115,497.9020550444976,0.6742765225354151
0.8575307656447763,891.8830000000002,894.528,154.8,0.33299999999999996,39.8,4.185185185185185,115.0,2.209120479870164,5.879,417.5443123395121,0.8425657876247022
0.9340024581398862,932.0370000000003,935.6050000000001,120.4,0.26299999999999996,8.1,3.184615384615385,112.3,1.4790848357510504,3.97,330.1275964593932,1.0279883238348178
0.9504568764568765,922.4860000000001,934.2009999999998,54.3,0.337,4.7,4.0,49.6,1.3264053643666007,3.6669999999999994,521.0836914556652,0.6530224025236937
0.9364268699173423,1100.9089999999999,1117.5720000000001,116.9,0.36500000000000005,10.7,5.0,106.2,1.8056650705173378,4.616,450.1191121591015,0.7658658512252298
0.9189397608041675,1365.226,1371.3950000000002,78.1,0.512,10.5,6.0,67.6,2.124366530912055,5.453,620.0160415753517,0.5643494648507533
0.8533500417710945,1532.7279999999998,1540.742,45.0,0.698,10.5,7.209999999999999,34.5,2.5348106869927456,5.928,579.2580420021075,0.5734496880659685
0.844679582903942,1813.3850000000002,1828.1979999999996,95.7,0.8320000000000001,21.6,7.0,74.1,2.604350003464016,6.702,870.0813874097446,0.5412300714459499
0.860286634454182,1413.4250000000002,1420.229,90.1,0.682,18.4,6.248484848484848,71.7,2.6117787758781725,6.389000000000001,536.6990139543824,0.654022691724198
0.8961449276464757,1331.268,1339.237,86.5,0.517,8.5,5.188888888888888,78.0,1.9092992594444347,4.9830000000000005,549.3621485244307,0.6768228034010637
0.8508329192546584,867.6779999999999,872.385,121.1,0.309,34.3,4.018181818181818,86.8,2.025621600086074,5.324,373.02427127633047,0.9860586588832027
0.9070824175824175,605.9300000000001,611.6129999999999,100.1,0.195,32.2,3.162962962962963,67.9,1.5224970069167527,4.2090000000000005,386.89505165136484,1.0207591501087552
